Structure de la population résidante permanente par canton, au 31.12.2021;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Âge;;;Sexe;;Nationalité;;État civil 1;;;;;;;Typologie: L'espace à caractère urbain 2;;
;;0–19;20–64;65 ou plus;Homme;Femme;Suisse;Étranger;Célibataire;Marié;Veuf;Divorcé;Non marié;Lié par un;Partenariat;Espace des;Espace sous;Espace hors
;;;;;;;;;;;;;;partenariat;dissous;centres;influence des;influence des
;;;;;;;;;;;;;;enregistré;;urbains;centres urbains;centres urbains
Suisse ;8 738 791 ;1 742 898 ;5 334 574 ;1 661 319 ;4 338 203 ;4 400 588 ;6 494 610 ;2 244 181 ;3 963 699 ;3 580 260 ;403 549 ;767 336 ;636 ;19 705 ;3 343 ;5 497 342 ;1 908 838 ;1 332 611 
Région lémanique;1 685 625 ;355 581 ;1 037 507 ;292 537 ;826 704 ;858 921 ;1 124 459 ;561 166 ;802 549 ;649 059 ;72 504 ;156 154 ;210 ;4 310 ;789 ;1 165 784 ;359 974 ;159 867 
Vaud;822 968 ;179 789 ;506 501 ;136 678 ;404 311 ;418 657 ;550 447 ;272 521 ;399 014 ;313 418 ;33 901 ;74 074 ;77 ;2 076 ;386 ;506 885 ;230 723 ;85 360 
Valais;353 209 ;68 414 ;213 030 ;71 765 ;175 475 ;177 734 ;271 208 ;82 001 ;154 332 ;147 735 ;18 537 ;31 922 ;31 ;554 ;83 ;194 781 ;83 921 ;74 507 
Genève;509 448 ;107 378 ;317 976 ;84 094 ;246 918 ;262 530 ;302 804 ;206 644 ;249 203 ;187 906 ;20 066 ;50 158 ;102 ;1 680 ;320 ;464 118 ;45 330 ;0 
Espace Mittelland;1 907 491 ;377 165 ;1 141 731 ;388 595 ;942 630 ;964 861 ;1 532 757 ;374 734 ;851 601 ;782 070 ;96 071 ;173 602 ;125 ;3 347 ;620 ;952 809 ;509 515 ;445 167 
Berne;1 047 473 ;199 744 ;621 199 ;226 530 ;514 609 ;532 864 ;871 624 ;175 849 ;464 576 ;432 225 ;54 602 ;93 639 ;58 ;1 965 ;389 ;549 964 ;233 241 ;264 268 
Fribourg;329 809 ;72 292 ;203 367 ;54 150 ;165 058 ;164 751 ;253 020 ;76 789 ;154 328 ;132 883 ;13 684 ;28 252 ;26 ;546 ;79 ;106 310 ;137 898 ;85 601 
Soleure;280 245 ;53 622 ;169 413 ;57 210 ;140 047 ;140 198 ;213 728 ;66 517 ;118 971 ;120 954 ;14 088 ;25 620 ;15 ;489 ;84 ;168 651 ;71 932 ;39 662 
