;Total;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Suisse ;8 738 791;;;;;;;;;;;;;;;;;
Région lémanique;1 685 625;;;;;;;;;;;;;;;;;
Vaud;822 968;;;;;;;;;;;;;;;;;
Valais;353 209;;;;;;;;;;;;;;;;;
Genève;509 448;;;;;;;;;;;;;;;;;
Espace Mittelland;1 907 491;;;;;;;;;;;;;;;;;
Berne;1 047 473;;;;;;;;;;;;;;;;;
Fribourg;329 809;;;;;;;;;;;;;;;;;
Soleure;280 245;;;;;;;;;;;;;;;;;
Neuchâtel;176 166;;;;;;;;;;;;;;;;;
Jura;73 798;;;;;;;;;;;;;;;;;
Suisse du Nord-Ouest;1 191 939;;;;;;;;;;;;;;;;;
Bâle-Ville;196 036;;;;;;;;;;;;;;;;;
Bâle-Campagne;292 817;;;;;;;;;;;;;;;;;
Argovie;703 086;;;;;;;;;;;;;;;;;
Zurich;1 564 662;;;;;;;;;;;;;;;;;
Suisse orientale;1 203 715;;;;;;;;;;;;;;;;;
Glaris;41 190;;;;;;;;;;;;;;;;;
Schaffhouse;83 995;;;;;;;;;;;;;;;;;
Appenzell Rh.-Ext.;55 585;;;;;;;;;;;;;;;;;
Appenzell Rh.-Int.;16 360;;;;;;;;;;;;;;;;;
Saint-Gall;519 245;;;;;;;;;;;;;;;;;
Grisons;201 376;;;;;;;;;;;;;;;;;
Thurgovie;285 964;;;;;;;;;;;;;;;;;
Suisse centrale;833 178;;;;;;;;;;;;;;;;;
Lucerne;420 326;;;;;;;;;;;;;;;;;
Uri;37 047;;;;;;;;;;;;;;;;;
Schwyz;163 689;;;;;;;;;;;;;;;;;
Obwald;38 435;;;;;;;;;;;;;;;;;
Nidwald;43 894;;;;;;;;;;;;;;;;;
Zoug;129 787;;;;;;;;;;;;;;;;;
Tessin;352 181;;;;;;;;;;;;;;;;;
